vuln_id,repo_url,fix_commit
CVE-2017-16615,https://github.com/thanethomson/MLAlchemy,bc795757febdcce430d89f9d08f75c32d6989d3c
CVE-2017-16618,https://github.com/tadashi-aikawa/owlmixin,5d0575303f6df869a515ced4285f24ba721e0d4e
CVE-2018-7753,https://github.com/mozilla/bleach,c5df5789ec3471a31311f42c2d19fc2cf21b35ef
CVE-2019-1010017,https://github.com/savon-noir/python-libnmap,71b707758851e4b622f87d9a73266e06f60aeab4
CVE-2019-10800,https://github.com/codecov/codecov-python,2a80aa434f74feb31242b6f213b75ce63ae97902
CVE-2020-6802,https://github.com/mozilla/bleach,f77e0f6392177a06e46a49abd61a4d9f035e57fd
CVE-2021-23980,https://github.com/mozilla/bleach,79b7a3c5e56a09d1d323a5006afa59b56162eb13
CVE-2021-28363,https://github.com/urllib3/urllib3,8d65ea1ecf6e2cdc27d42124e587c1b83a3118b0
CVE-2021-32839,https://github.com/andialbrecht/sqlparse,8238a9e450ed1524e40cb3a8b0b3c00606903aeb
CVE-2022-24065,https://github.com/cookiecutter/cookiecutter,fdffddb31fd2b46344dfa317531ff155e7999f77
CVE-2022-24439,https://github.com/gitpython-developers/GitPython,2625ed9fc074091c531c27ffcba7902771130261
CVE-2022-2888,https://github.com/octoprint/octoprint,40e6217ac1a85cc5ed592873ae49db01d3005da4
CVE-2022-29217,https://github.com/jpadilla/pyjwt,9c528670c455b8d948aff95ed50e22940d1ad3fc
CVE-2022-3102,https://github.com/latchset/jwcrypto,f4e912f83cb578e2cd47f8a9398bf15f680bf558
CVE-2023-23934,https://github.com/pallets/werkzeug,cf275f42acad1b5950c50ffe8ef58fe62cdce028
CVE-2023-25577,https://github.com/pallets/werkzeug,517cac5a804e8c4dc4ed038bb20dacd038e7a9f1
CVE-2023-26145,https://github.com/dgilland/pydash,6ff0831ad285fff937cafd2a853f20cc9ae92021
CVE-2023-26302,https://github.com/executablebooks/markdown-it-py,53ca3e9c2b9e9b295f6abf7f4ad2730a9b70f68c
CVE-2023-29483,https://github.com/rthalley/dnspython,0ea5ad0a4583e1f519b9bcc67cfac381230d9cf2
CVE-2023-30608,https://github.com/andialbrecht/sqlparse,c457abd5f097dd13fb21543381e7cfafe7d31cfb
CVE-2023-32303,https://github.com/planetlabs/planet-client-python,d71415a83119c5e89d7b80d5f940d162376ee3b7
CVE-2023-32309,https://github.com/facelessuser/pymdown-extensions,b7bb4878d6017c03c8dc97c42d8d3bb6ee81db9d
CVE-2023-32681,https://github.com/psf/requests,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5
CVE-2023-34457,https://github.com/MechanicalSoup/MechanicalSoup,d57c4a269bba3b9a0c5bfa20292955b849006d9e
CVE-2023-36830,https://github.com/sqlfluff/sqlfluff,6cdc38d76bedab4801b035c04d3c2b3aea17de86
CVE-2023-37271,https://github.com/zopefoundation/RestrictedPython,c8eca66ae49081f0016d2e1f094c3d72095ef531
CVE-2023-41039,https://github.com/zopefoundation/RestrictedPython,4134aedcff17c977da7717693ed89ce56d54c120
CVE-2023-41040,https://github.com/gitpython-developers/GitPython,74e55ee4544867e1bd976b7df5a45869ee397b0b
CVE-2023-46446,https://github.com/ronf/asyncssh,83e43f5ea3470a8617fc388c72b062c7136efd7e
CVE-2023-47163,https://github.com/remarshal-project/remarshal,fd6ac799a02f533c3fc243b49cdd6d21aa7ee494
CVE-2023-6681,https://github.com/latchset/jwcrypto,d2655d370586cb830e49acfb450f87598da60be8
CVE-2024-22190,https://github.com/gitpython-developers/GitPython,ef3192cc414f2fd9978908454f6fd95243784c7f
CVE-2024-22195,https://github.com/pallets/jinja,716795349a41d4983a9a4771f7d883c96ea17be7
CVE-2024-27454,https://github.com/ijl/orjson,b0e4d2c06ce06c6e63981bf0276e4b7c74e5845e
CVE-2024-28102,https://github.com/latchset/jwcrypto,90477a3b6e73da69740e00b8161f53fea19b831f
CVE-2024-29033,https://github.com/jupyterhub/oauthenticator,5246b09675501b09fb6ed64022099b7644812f60
CVE-2024-32977,https://github.com/OctoPrint/OctoPrint,5afbec8d23508edc25b0f1bdef1620580136add4
CVE-2024-34061,https://github.com/dgtlmoon/changedetection.io,c0f000b1d1ce03733460805dbbedde445fe2c762
CVE-2024-34064,https://github.com/pallets/jinja,0668239dc6b44ef38e7a6c9f91f312fd4ca581cb
CVE-2024-34078,https://github.com/matthiask/html-sanitizer,48db42fc5143d0140c32d929c46b802f96913550
CVE-2024-35195,https://github.com/psf/requests,a58d7f2ffb4d00b46dca2d70a3932a0b37e22fac
CVE-2024-37891,https://github.com/urllib3/urllib3,40b6d1605814dd1db0a46e202d6e56f2e4c9a468
CVE-2024-42353,https://github.com/Pylons/webob,f689bcf4f0a1f64f1735b1d5069aef5be6974b5b
CVE-2024-4340,https://github.com/andialbrecht/sqlparse,b4a39d9850969b4e1d6940d32094ee0b42a2cf03
